date,close,volume,open,high,low,delta,Week Returns
10:03,147.71,,147.27,147.89,146.54,-0.4399999999999977,
2019/01/24,145.83,146.54,144.64,146.44,142.52,-1.1900000000000261,
2019/01/23,144.3,142.52,148.28,148.8,143.055,3.9799999999999898,
2019/01/22,147.57,143.055,149.2,151.53,146.37,1.6299999999999955,
2019/01/18,150.04,146.37,149.75,152.43,148.55,-0.28999999999999204,
2019/01/17,148.3,148.55,146.95,149.0,146.5,-1.3500000000000227,
2019/01/16,147.54,146.5,149.0,149.6499,146.9975,1.460000000000008,
2019/01/15,148.95,146.9975,146.01,150.68,145.99,-2.9399999999999977,0.8324941255454722
2019/01/14,145.39,145.99,142.0,146.57,141.27,-3.3899999999999864,-0.3026342939679663
2019/01/11,143.8,141.27,143.15,145.36,142.57,-0.6500000000000057,-0.3477051460361613
2019/01/10,144.2,142.57,143.08,144.56,140.84,-1.1199999999999761,-2.3370319001386997
2019/01/09,144.23,140.84,142.95,144.7,141.27,-1.2800000000000011,-4.02828815087014
2019/01/08,142.53,141.27,139.89,143.14,139.54,-2.640000000000015,-4.048270539535544
2019/01/07,138.05,139.54,137.56,138.87,135.91,-0.4900000000000091,-6.874320898225267
2019/01/04,137.95,135.91,134.01,138.0,133.75,-3.9399999999999977,-7.973903588256616
2019/01/03,131.74,133.75,134.69,137.17,131.12,2.9499999999999886,-10.361317747077559
2019/01/02,135.68,131.12,128.99,137.51,128.56,-6.689999999999998,-5.9846698113207575
2018/12/31,131.09,128.56,134.45,134.64,129.95,3.359999999999985,-10.00076283469371
2018/12/28,133.2,129.95,135.34,135.92,132.2,2.140000000000015,-8.280780780780782
2018/12/27,134.52,132.2,132.44,134.99,129.67,-2.0800000000000125,-5.954504906333623
2018/12/26,134.18,129.67,126.0,134.24,125.89,-8.180000000000007,-2.8841854225667047
2018/12/24,124.06,125.89,123.1,129.74,123.02,-0.960000000000008,-11.196195389327732
2018/12/21,124.95,123.02,133.39,134.9,123.42,8.439999999999984,-5.434173669467792
2018/12/20,133.4,123.42,130.7,135.57,130.0,-2.700000000000017,-1.7091454272863575
2018/12/19,133.24,130.0,141.21,144.91,132.5,7.969999999999999,1.613629540678479
2018/12/18,143.66,132.5,141.08,145.93,139.8301,-2.579999999999984,7.281080328553536
2018/12/17,140.19,139.8301,143.08,144.92,138.42,2.890000000000015,4.044511020757534
2018/12/14,144.06,138.42,143.34,146.01,142.51,-0.7199999999999989,6.858253505483823
2018/12/13,145.01,142.51,145.57,145.85,143.19,0.5600000000000023,14.447279497965651
2018/12/12,144.5,143.19,143.08,147.19,142.51,-1.4199999999999875,13.529411764705882
2018/12/11,142.08,142.51,143.88,143.88,141.1,1.799999999999983,6.109234234234238
2018/12/10,141.85,141.1,139.6,143.05,139.01,-2.25,6.069792033838552
2018/12/07,137.42,139.01,139.25,140.87,136.6566,1.8300000000000125,-4.540823752001171
2018/12/06,139.63,136.6566,133.82,139.7,133.67,-5.810000000000002,-0.4010599441380809
2018/12/04,137.93,133.67,140.73,143.39,137.16,2.799999999999983,-4.4442833321249875
2018/12/03,141.09,137.16,143.0,143.6799,140.76,1.9099999999999966,-2.7783684173222674
2018/11/30,140.61,140.76,138.26,140.966,137.36,-2.3500000000000227,-2.766517317402735
2018/11/29,138.68,137.36,135.92,139.99,135.66,-2.7600000000000193,-2.451687337755989
2018/11/28,136.76,135.66,136.28,136.7899,131.85,-0.47999999999998977,-3.7218484937116143
2018/11/27,135.0,131.85,135.75,136.6126,133.71,0.75,-1.7925925925925834
2018/11/26,136.38,133.71,133.0,137.0,132.78,-3.3799999999999955,-2.3830473676492154
2018/11/23,131.73,132.78,133.65,134.5,131.2551,1.920000000000016,-4.706596826842798
2018/11/21,134.82,131.2551,134.4,137.19,134.13,-0.4199999999999875,-4.65064530485092
2018/11/20,132.43,134.13,127.03,134.1592,126.85,-5.400000000000006,-6.176848146190445
2018/11/19,131.55,126.85,137.61,137.75,131.21,6.060000000000002,-5.419992398327628
2018/11/16,139.53,131.21,141.07,141.77,137.77,1.539999999999992,1.9852361499319218
2018/11/15,143.85,137.77,142.33,144.84,140.83,-1.5199999999999818,6.152241918665272
2018/11/14,144.22,140.83,143.7,145.58,141.55,-0.5200000000000102,5.436139231729305
2018/11/13,142.16,141.55,142.0,144.88,141.62,-0.1599999999999966,7.336803601575695
2018/11/12,141.55,141.62,144.48,145.04,140.4899,2.9299999999999784,4.754503708936784
2018/11/09,144.96,140.4899,146.75,147.76,144.07,1.789999999999992,8.643763796909493
2018/11/08,147.87,144.07,150.49,150.94,146.74,2.6200000000000045,11.036721444512066
2018/11/07,151.53,146.74,151.57,153.01,149.83,0.03999999999999204,7.919223916056227
2018/11/06,149.94,149.83,149.31,150.97,148.0,-0.6299999999999955,4.061624649859946
2018/11/05,148.68,148.0,150.1,150.19,147.44,1.4199999999999875,2.999730965832666
2018/11/02,150.35,147.44,151.8,154.13,148.96,1.450000000000017,5.4472896574659115
2018/11/01,151.75,148.96,151.52,152.75,149.35,-0.22999999999998977,6.721581548599663
2018/10/31,151.79,149.35,155.0,156.4,148.96,3.210000000000008,4.499637657289666
2018/10/30,146.22,148.96,139.935,146.64,139.7419,-6.284999999999997,-1.1284366023799792
2018/10/29,142.09,139.7419,148.5,148.83,139.03,6.409999999999997,-6.643676543036102
2018/10/26,145.37,139.03,145.82,149.0,143.8,0.44999999999998863,-3.1437022769484715
2018/10/25,150.95,143.8,147.73,152.21,147.0,-3.219999999999999,1.5038092083471228
2018/10/24,146.04,147.0,154.28,154.65,145.6,8.240000000000009,-2.95124623390852
